Id	Title	Description	Date	Duration	Type	Session	Track	Presenters	Materials
35	ATLAS Muon Trigger performance	Events containing muons in the final state are an important signature for many analyses being carried out at the Large Hadron Collider (LHC), including both standard model measurements and searches for new physics. To be able to study such events, it is required to have an efficient and well-understood muon trigger. The ATLAS muon trigger consists of a hardware-based system (Level 1), as well as a software-based reconstruction (High Level Trigger). Due to the high luminosity in Run 2, several improvements have been implemented to keep the trigger rate low, while still maintaining high efficiency. Some examples of recent improvements include requiring coincidence of hits in the muon spectrometer and the calorimeter and optimized muon isolation. We will present an overview of how we trigger on muons, recent improvements, the performance of the muon trigger in Run-2 data and an outlook for the improvements planned for run-3.	2019-08-28 13:30:00+00:00	20 minutes	Oral Presentation	Parallel Session		Andrea Ventura	
36	The ATLAS Level-1 Topological Processor: experience and upgrade plans	During Run-2 the Large Hadron Collider (LHC) has provided, at the World's energy frontier, proton-proton collisions to the ATLAS experiment with high instantaneous luminosity (up to 2.1x10^34 cm^-2s^-1), placing stringent operational and physical requirements on the ATLAS trigger system in order to reduce the 40 MHz collision rate to a manageable event storage rate of 1 kHz, while not rejecting interesting collisions.     The Level-1 trigger is the first rate-reducing step in the ATLAS trigger system with an output rate of up to 100 kHz and decision latency of less than 2.5 microseconds. Until the end of 2018, an important role was played by the Level 1 Topological Processor (L1Topo). This innovative system consists of two blades designed in AdvancedTCA form factor, mounting four individual state-of-the-art processors, and providing high input bandwidth and low latency data processing. Up to 128 topological trigger algorithms can be implemented to select interesting events by applying kinematic and angular requirements on electromagnetic clusters, hadronic jets, muons and total energy reconstructed in the ATLAS apparatus. This resulted in a significantly improved background event rejection rate and improved acceptance of physics signal events, despite the increasing luminosity. The L1Topo system has become more and more important for physics analyses making use of low energy objects, commonly present in the Heavy Flavour or Higgs physics events for example.     In this presentation, an overview of the L1Topo architecture, simulation, and performance results during Run-2 is discussed alongside with upgrade plans for the L1Topo system to be installed for the future data taking that will start in 2021.	2019-08-26 15:05:00+00:00	25 minutes	Oral Presentation	Mini Workshop on Instruments and Methods in HEP		Carlos Moreno Martinez	
37	The ATLAS Electron and Photon Trigger Performance in Run 2	ATLAS electron and photon triggers covering transverse energies from 5 GeV to several TeV are essential to record signals for a wide variety of physics: from Standard Model processes to searches for new phenomena in both proton-proton and heavy ion collisions. Main triggers used during Run 2 (2015-2018) for those physics studies were a single-electron trigger with ET threshold around 25 GeV and a diphoton trigger with thresholds at 25 and 35 GeV. Relying on those simple, general-purpose triggers is seen as a more robust trigger strategy, at a cost of slightly higher trigger output rates, than to use a large number of analysis-specific triggers. To cope with ever-increasing luminosity and more challenging pile-up conditions at the LHC, the trigger selections needed to be optimized to control the rates and keep efficiencies high. The ATLAS electron and photon performance during Run-2 data-taking is presented as well as work ongoing to prepare to even higher luminosity of Run 3 (2021-2023).	2019-08-26 13:50:00+00:00	25 minutes	Oral Presentation	Mini Workshop on Instruments and Methods in HEP		Daniela Maria Koeck	
40	Status of the GERDA Phase II experiment.	The GERDA (GERmanium Detector Array) experiment, located at the Laboratori Nazionali del Gran Sasso (LNGS) in Italy, is one of the leading experiments searching for neutrinoless double beta decay (0νββ). Bare semiconductor detectors made of germanium enriched in Ge-76 isotope are operated in a cryostat filled with liquid argon. In Phase II of the experiment 35.6 kg of enriched germanium detectors are deployed. Application of active background rejection methods, such as a liquid argon scintillation light read-out and pulse shape discrimination of detector signals, allowed to reduce the background index to less than 10^-3 cts/(keV·kg·yr). The half-life sensitivity for 0νββ decay achieved by GERDA Phase II overpassed 10^26 years first time ever. Recently the hardware upgrade of the experiment has been performed. At the conference the status of GERDA Phase II after the upgrade will be presented.	2019-08-27 12:40:00+00:00	20 minutes	Oral Presentation	Parallel Session		Nadezda  Rumyantseva	
43	Search for critical effects in NA61/SHINE	NA61/SHINE is a multi-purpose experiment to study hadron-proton, hadron-nucleus and nucleus-nucleus collisions at the CERN Super Proton Synchrotron. The experiment performs unique measurements for the physics of strong interactions as well as important reference measurements for neutrino and cosmic-ray physics.    The primary goals of the experiment are the study of the onset of deconfinement and the search for the critical point of the strongly interacting matter, to uncover the mechanism of thermalisation and to test the validity of statistical models. For this purpose, a two-dimensional scan was performed by varying the beam momentum (13$A$-158$A$ GeV/$c$) and the size of colliding systems (p+p, Be+Be, Ar+Sc, Xe+La, Pb+Pb).    Recent NA61/SHINE results on the search for critical effects in spectra and fluctuations including an indication for the onset of thermalisation with an increasing nuclear mass number of the colliding nuclei - the onset of fireball, and a hint of intermittent fluctuations of protons    in collisions of medium size nuclei at the top SPS energy will be presented within this contribution.	2019-08-28 15:30:00+00:00	30 minutes	Oral Presentation	Workshop on Physics at FAIR-NICA-SPS-BES/RHIC		Magdalena Kuich	
48	Effect of Rope Hadronization in Stangeness Enhancement and Two particle correlations in p-p collisions at LHC energies.	The p$-$p collisions at high multiplicity at LHC show small scale    collective effects similar to that observed in heavy ion collisions    such as enhanced production of strange and multi-strange hadrons, long range azimuthal correlations, etc.    The observation of strangeness enhancement in p$-$p collisions at $\sqrt{s}$ = 7 TeV  and 13 TeV as measured by ALICE experimentis explored using Pythia8 event generator within the framework of microscopic rope hadronization model which assumes the formation of ropes due to overlapping of strings in high multiplicity environment.    The transverse momentum ($p_{T}$) spectra shape and its hardening with    multiplicity is well described by the model. The mechanism of    formation of ropes with QCD-based color reconnections also described    the observed experimental strangeness enhancement for higher multiplicity classes in p$-$p collisions at $\sqrt{s}$ = 7 TeV and 13 TeV.  The enhancement with multiplicity is further investigated by studying the mean $p_{T}$ ($<p_{T}>$) and the integrated yields ($<dN/dy>$ ) of strange and multi-strange hadrons and comparing the predictions to the measured data at  LHC for 7 TeV and13 TeV.  The mechanism has also been checked for two particle correlation to see the near side ridge effect and the    resonance produciton for p$-$p collisions at 7 TeV and 13 TeV	2019-08-24 08:00:00+00:00	30 minutes	Oral Presentation	Parallel Session		Sadhana Dash	
49	Experimental progress towards positronium Bose-Einstein condensation	Positronium (Ps), the bound state of an electron and a positron, is one of the best candidates for the first Bose-Einstein condensation (BEC) of antimatter system. Ps-BEC can be regarded as an “antimatter laser”, which has rich potential for applications to both fundamental and applied physics. For example, the gravitational effect on antimatter can be studied by constructing a Mach-Zehnder interferometer of Ps-BEC. Gamma-ray laser can also be realized using annihilation gamma-rays from Ps-BEC.       The challenge to realize Ps-BEC is to create dense (> 10$^{17}$ cm$^{-3}$) and cold (< 10 K) Ps atoms in a short lifetime of Ps (142 ns). To achieve these target values, we proposed the following new scheme. Firstly, dense Ps atoms are formed in small (~ 10$^6$ nm$^3$) pores in a silica (SiO$_2$) target by bombarding focused and bunched positron beams. Then, Ps atoms are rapidly cooled to ~300 K by thermalization caused by collisions with pore walls. Finally, Ps are cooled to less than 10 K by laser cooling which uses 243 nm 1S-2P transitions. Monte Carlo simulation shows that this method can realize Ps-BEC in ~300 ns after Ps formation.       We are currently trying laser cooling of Ps at KEK slow positron facility (SPF). In this presentation, I will show the overall development status and future prospects of our experiment, especially about the following topics: positron fusing system using multi-stage brightness enhancement system, Ps generator/condenser/cooler target material, and special home-made 243 nm pulsed laser system for Ps cooling.       This work is supported by JSPS KAKENHI Grant Numbers JP16H04526, JP17H02820, JP17H06205, JP17J03691, JP18H03855, JP19H01923, MATSUO FOUNDATION, Mitutoyo Association for Science and Technology (MAST), Research Foundation for Opto-Science and Technology, and TIA Kakehashi TK17-046.	2019-08-26 12:20:00+00:00	20 minutes	Oral Presentation	Parallel Session		Akira Ishida	
54	Gapped Continuum Kaluza-Klein spectrum	In this work we consider a warped five-dimensional model with an ultraviolet (UV) brane and, on top of the Standard Model zero modes, continua of KK modes with different mass gaps for all particles: gauge bosons, fermions, graviton, radion and Higgs boson. The model can be considered as a modelization in five dimensions of gapped unparticles. It has a singularity, at a finite (infinite) value of the proper (conformal) coordinate, which is admissible as it supports finite temperature in the form of a black hole horizon. An infrared (IR) brane, with particular jumping conditions, is introduced to trigger correct electroweak breaking. The gravitational metric is AdS$_5$ near the UV brane, to solve the hierarchy problem with a fundamental Planck scale, and linear, in conformal coordinates, near the IR, as in the linear dilaton and five-dimensional clockwork models. The branes, and singularity, distances are fixed, a la Goldberger-Wise, by a bulk scalar field with brane potentials explicitly breaking the conformal symmetry. We have computed the spectral functions and arbitrary Green's functions and shown how they can modify some Standard Model processes. This work is based on [1]. Related works are [2,3,4].    *References:    [1] E. Megias, M. Quiros, arXiv:1905.XXXXX (to appear).    [2] L. Randall, R. Sundrum, "A Larga mass hierarchy from a small extra dimension", PRL 83 (1999) 3370-3373.    [3] C. Csaki et al., "Continuum Naturalness", JHEP 1903 (2019) 142.    [4] G. Giudice et al, "Clockwork / Linear Dilaton: Structure and Phenomenology", JHEP 1806 (2018) 009.	2019-08-27 08:30:00+00:00	30 minutes	Oral Presentation	Workshop on New physics paradigms after Higgs and gravitational wave discoveries		Eugenio Megias	
58	Solar Neutrino Physics with Borexino	The Sun offers us the opportunity to make detailed observations of the exterior and interior of a typical star in its mid-life phase. A unique way to study the innermost regions of our star is offered by solar neutrinos, emitted by the thermonuclear fusion reactions in the Sun. The **Borexino experiment**, located in  Laboratori Nazionali del GranSasso in Italy and widely known for its rich Solar Neutrino physics program, is now in his high-purity Phase II, thanks to intense purification campaigns of scintillator that were very successful in further reducing the already low backgrounds, leading to unprecedented radiopurity levels reached in its active volume (<10^19 g/g for 238U/232Th chains).    In this talk I will review the latest result released, the first simultaneous measurement of the neutrino interaction rates from the proton-proton chain, and I will present the **strategies for measuring the neutrino flux from the CNO cycle**, the last one not yet measured.  The detection of these neutrinos has important implications in astrophysics, as it would be the first direct evidence of the nuclear process that is believed to fuel massive stars.    Despite the unprecedented low levels of background reached in the detector,  the CNO solar neutrinos detection remains a very challenging task because of the almost degenerate spectral shapes of the signal due to CNO neutrinos and the 210Bi background, so that spectral fits are not able to disentangle the two contributions.  A realistic measurement of CNO neutrinos can be performed only using a multivariate spectral fit supported by a sensitive pulse shape discrimination. The 210Bi background can be reduced by further purifications of the scintillator, but anyway it must be also constrained independently by measuring the rate of decay of the daughter nucleus, the 210Po. The difficulty of this analysis lies both in the low signal to noise ratio and in the contamination of the 210Po in the vessel, which diffuses towards the center of the detector. Such transport was strongly suppressed after the detector was equipped with thermal insulation yet this effect remains non-negligible.	2019-08-27 13:50:00+00:00	20 minutes	Oral Presentation	Parallel Session		Chiara Ghiano	
61	Neutrino CP Violation with the European Spallation Source neutrino Super Beam project	**Title: Neutrino CP Violation with the European Spallation Source neutrino Super Beam project.**     After measuring in 2012 a relatively large value of the neutrino mixing angle θ13, the door is now open to observe for the first time a possible CP violation in the leptonic sector. The measured value of θ13 also privileges the 2nd oscillation maximum for the discovery of CP violation instead of the usually used 1st oscillation maximum. The sensitivity at this 2nd oscillation maximum is about three times higher than for the 1st oscillation maximum inducing a lower influence of systematic errors.Going to the 2nd oscillation maximum necessitates a very intense neutrino beam with the appropriate energy. The world’s most intense pulsed spallation neutron source, the European Spallation Source, will have aproton linac with 5 MW power and 2 GeV energy. This linac, under construction, alsohas the potential to become the proton driver of the world’s most intense neutrino beam with very high potential to discover a neutrino CP violation. The physics performance of that neutrino Super Beam in conjunction with a megaton underground Water Cherenkov neutrino detector installed at a distance of about 500 km from ESS has been evaluated. In addition, the choice of such detector will extent the physics program to proton–decay, atmospheric neutrinos and astrophysics searches. The ESS proton linac upgrades, the accumulator ring needed for proton pulse compression, the target station optimization and the physics potential are described. In addition to neutrinos, this facility will also produce at the same time a copious number of muons which could be used by a muon collider. The ESS neutron facilitywill be fully ready by 2023 at which moment the upgrades for the neutrino facility could start.    This project is supported by the COST Action CA15139 "Combining forces for a novel European facility for neutrino-antineutrino symmetry-violation discovery"and the European Union’s Horizon 2020 research and innovation program under grant agreement No 777419.	2019-08-22 12:00:00+00:00	30 minutes	Oral Presentation	Parallel Session		Georgios Fanourakis	
63	Space-time structure may be topological and not geometrical	In a previous effort we have created a framework that explains why topological structures naturally arise within a scientific theory; namely, they capture the requirements of experimental verification. This is particularly interesting because topological structures are at the foundation of geometrical structures, which play a fundamental role within modern mathematical physics. In this talk we will show a set of necessary and sufficient conditions under which those topological structures lead to real quantities and manifolds, which are a typical requirement for geometry. These conditions will provide a physically meaningful procedure that is the physical counter-part of the use of Dedekind cuts in mathematics. We then show that those conditions are unlikely to be met at Planck scale, leading to a breakdown of the concept of ordering. This would indicate that the mathematical structures required to describe space-time at that scale, while still topological, may not be geometrical.	2019-08-24 09:30:00+00:00	30 minutes	Oral Presentation	Parallel Session		Gabriele Carcassi	
64	Studying Jet Fragmentation and Hadronization at LHCb	New results on jet fragmentation measurements at LHCb are presented. LHCb has probed the fragmentation of light and heavy flavour jets, with results showing significant discrepancies with theoretical predictions found using standard Monte Carlo event simulation. These are the first measurements of jet hadronisation and fragmentation at forward rapidities at the LHC. Results from LHCb of J/Psi production inside jets also provide a new handle on long-standing puzzles on accurately predicting J/Psi production in hadronic collisions.	2019-08-26 13:55:00+00:00	25 minutes	Oral Presentation	Parallel Session on B physics at LHC		Christine Aidala	
68	DAMA/LIBRA–phase2 results and implications on several Dark Matter scenarios	The model independent results on the investigation of the dark matter annual modulation signature by DAMA/LIBRA-phase2 will be outlined, and their  implications on several Dark Matter scenarios will be presented. Thanks to the increased exposure and to the lower software energy threshold, corollary model-dependent analyses permit to significantly restrict the allowed regions for the parameters spaces of various dark matter candidates and astrophysical, particle and nuclear physics scenarios.	2019-08-26 12:00:00+00:00	20 minutes	Oral Presentation	Parallel Session		Vincenzo Caracciolo	
69	Overview of the PHENIX Spin Program	Over a decade, the Relativistic Heavy Ion Collider (RHIC) has provided unique data for the research of proton spin, thanks to its capability of polarized proton – proton (p + p) and polarized proton – ion (p + A) collisions. As a part of RHIC and its spin program, the PHENIX experiment has explored many interesting and unique probes for the better understanding of the proton spin. In this talk, the overview of the PHENIX Spin Program will be presented, concentrating on recent RHIC runs from 2012-2015, for various collision energies, spin orientations (longitudinal or transverse), and collision systems.	2019-08-24 08:50:00+00:00	25 minutes	Oral Presentation	Parallel Session		Chong Kim	https://indico.cern.ch/event/754973/contributions/3536091/attachments/1895930/3127899/ckim_icnfp2019.pdf
70	Probing the initial stage with direct photons	The $p_T$ spectrum of direct photons, measured at small $p_T$ in $AA$ collisions,     considerably exceeds the expectations, based on the NLO perturbative calculations. The latter miss the illuminating effect of parton density increase at low $x$ due to the mutual enhancement of the saturation scales in both nuclei.    This effect can be naturally implemented within the dipole formalism, which allows performing calculation even at small $p_T$, that is not reachable with perturbative calculations.    We observe a significant enhancement of the direct photon yield,    apart from the usual Cronin effect in the nuclear modification factor, $R_{AA}$.	2019-08-24 09:15:00+00:00	25 minutes	Oral Presentation	Parallel Session		Michal Krelina	
80	Performance of the ATLAS RPC detector and L1 Muon Barrel trigger at sqrt{s} = 13 TeV	The ATLAS experiment at the Large Hadron Collider utilises a trigger system consisting of a first level hardware trigger and a higher level software trigger. The Level-1 muon trigger system selects muon candidates with six transverse momentum thresholds and associate them with a correct LHC bunch crossing. The Level-1 Muon Barrel Trigger uses Resistive Plate Chambers (RPC) detectors to generate trigger signals for selecting muon candidates within the pseudorapidity range of up to 1.05. The RPC detectors are arranged in three concentric double layers and consist of 3600 gas volumes, with a total surface of more than 4000 square meters, that operate in a toroidal magnetic field. This contribution will discuss the performance of the RPC detector system and of the Level-1 Muon Barrel trigger during the 2018 data taking period. Measurements of RPC detector response obtained using muon candidates produced in LHC collisions will be presented. Trigger performance and efficiency measurements that are obtained using Z boson decays to a muon pair will be also discussed. Finally, studies of the RPC detector response at different high voltage and threshold settings will be discussed, in the context of expected detector response after the High Luminosity LHC upgrades	2019-08-26 12:00:00+00:00	25 minutes	Oral Presentation	Mini Workshop on Instruments and Methods in HEP		Marco Sessa	
81	On the generalised spectral structure of QCD propagators	Local formulations of quantum field theory imply that gauge theory propagators can potentially contain generalised infrared poles. In this talk I will outline the theoretical significance of these components, and report on recent lattice fit results for the gluon propagator.	2019-08-22 16:00:00+00:00	30 minutes	Oral Presentation	Workshop on QCD		Peter Lowdon	
85	Quantum Phase Transitions on the Hexagonal Lattice	Graphene, a system of carbon atoms arranged on a two dimensional hexagonal lattice, has been the subject of intense theoretical and experimental research in the past decade, due to its unique electronic properties. The special symmetries of its electronic band structure lead to an effective description in terms of a massless Dirac field, and strong inter-electron interactions, which can be tuned through various experimental techniques, drive quantum phase transitions to different gapped electronic ordered phases. The phase diagram of interacting fermions on a hexagonal lattice can be studied from first principles using Hybrid-Monte-Carlo simulations. Here, the present status of these efforts is reported.		30 minutes	Oral Presentation	Workshop on Lattice and Condensed Matter Physics		Dominik Smith	
86	Quantum Monte Carlo study of the renormalization of the Fermi velocity in graphene	We report the results of Quantum Monte Carlo (QMC) simulations of graphene at large-scale lattices. In our study we accessed small enough temperatures and momenta to confirm the logarithmic divergence of the Fermi velocity at low energies in the non-perturbative regime. It appears that our QMC results lie in between predictions made by one-loop lattice perturbation theory (which substantially overestimates the effect) and Random Phase Approximation (RPA). We also probed the influence of short-range interactions on the long-range behavior of the Fermi velocity, by performing QMC calculations with the same long-range Coulomb tail but different cutoffs for the potentials at short distances.		30 minutes	Oral Presentation	Workshop on Lattice and Condensed Matter Physics		Maksim Ulybyshev	
95	Recent results on bottomonia and bottomonium-like particles at Belle	The large data sample accumulated by the Belle experiment at KEKB    asymmetric energy e^+ e^- collider provides opportunities to study    bottomonia and bottomonium-like exotic particles. In this presentation,    we report recent results on these topics from Belle, including a new    measurement of the e^+e^-\to \Upsilon(nS)\pi^+\pi^- (n=1,2,3) cross    sections at energies from 10.52 to 11.02 GeV, and observation of    ϒ(2S)→γ ηb(1S), ϒ(4S) → η'ϒ(1S) and e+e-→π+π-π0χb1,2(1P).	2019-08-27 12:20:00+00:00	20 minutes	Oral Presentation	Parallel Session		Aleksei Garmash	
