Id	Title	State	Submitter	Primary authors	Accepted track	Submitted for tracks	Reviewed for tracks
201	Classical excluded volume of loosely bound light (anti)nuclei and their chemical freeze-out  in high energy nuclear collisions	Accepted	Kyrill Bugaev	Kyrill Bugaev		B Heavy Ion Collisions and Critical Phenomena	B Heavy Ion Collisions and Critical Phenomena
220	Directed Flow and Freeze-Out in Microscopic Models in A+A Collisions at BES-FAIR-NICA energies	Accepted	Evgeny Zabrodin	Evgeny Zabrodin; Larisa Bravina; Yuri Ivanov; Yurii Kvasiuk; Serguei Sivoklokov		Workshop on Physics at FAIR-NICA-SPS-BES/RHIC	Workshop on Physics at FAIR-NICA-SPS-BES/RHIC
332	The spatial sub-separation of strangeness from non strangeness in heavy-ion collisions at energies of FAIR and NICA	Accepted	Larisa Bravina	Larisa Bravina		Workshop on Physics at FAIR-NICA-SPS-BES/RHIC; Workshop on Heavy Ion Physics	Workshop on Physics at FAIR-NICA-SPS-BES/RHIC; Workshop on Heavy Ion Physics
102	The PANDA Experiment at FAIR	Accepted	Georg Schepers	Georg Schepers		Workshop on QCD	Workshop on QCD
305	A Quantum Multiparty Packing Lemma and the Relay Channel	Accepted	Hrant Gharibyan	Hrant Gharibyan; Dawei Ding; Patrick  Hayden; Michael  Walter		C Quantum Physics, Quantum Optics and Quantum Information; Workshop on Quantum Foundations and Quantum Information	C Quantum Physics, Quantum Optics and Quantum Information; Workshop on Quantum Foundations and Quantum Information
181	Entanglement in anisotropic spacetime	Accepted	Stefano Mancini	Stefano Mancini		C Quantum Physics, Quantum Optics and Quantum Information	C Quantum Physics, Quantum Optics and Quantum Information
179	New results from the DANSS experiment	Accepted	Nataliya Skrobova	Nataliya Skrobova		A High Energy Particle Physics	A High Energy Particle Physics
159	The status of the SoLid experiment	Accepted	Simon Vercaemer	Simon Vercaemer		A High Energy Particle Physics	A High Energy Particle Physics
151	Status and results from the CUORE experiment	Accepted	Claudia Tomei	Claudia Tomei; CUORE Collaboration			
327	CMS Top Physics Highlights	Accepted	Ekaterina Kriukova	Mykola Savitskyi		A High Energy Particle Physics	A High Energy Particle Physics
282	DOUBLY-CHARGED BILEPTONS AT THE LHC	Accepted	Paul Frampton	PAUL FRAMPTON		A High Energy Particle Physics	A High Energy Particle Physics
298	Stability and superluminality of cosmological models in generalized Galileon theories	Accepted	Sergey Mironov	Sergey Mironov; Victoria Volkova		D Cosmology, Astrophysics, Gravity, Mathematical Physics; Workshop on Astro-Cosmo-Gravity	D Cosmology, Astrophysics, Gravity, Mathematical Physics; Workshop on Astro-Cosmo-Gravity
297	Current status of wormholes in generalized Galileon theories	Accepted	Sergey Mironov	Sergey Mironov; Victoria Volkova		D Cosmology, Astrophysics, Gravity, Mathematical Physics; Workshop on Astro-Cosmo-Gravity	D Cosmology, Astrophysics, Gravity, Mathematical Physics; Workshop on Astro-Cosmo-Gravity
334	Bayesian Analysis for Extracting Properties of the Nuclear  Equation of State	Accepted	Ekaterina Kriukova	Alexander Ayriyan		Workshop on Astro-Cosmo-Gravity	Workshop on Astro-Cosmo-Gravity
328	Some aspects of the cooling of neutron stars	Accepted	Ekaterina Kriukova	Hovik Grigorian		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
123	Searching for Neutrinoless Double Beta Decay with the MAJORANA DEMONSTRATOR	Accepted	Anna Reine	Anna Reine		Workshop on Astro-Cosmo-Gravity	Workshop on Astro-Cosmo-Gravity
103	Search for sub-GeV/c² dark matter with CRESST-III	Accepted	Holger Kluck	Holger Kluck		Workshop on Astro-Cosmo-Gravity	Workshop on Astro-Cosmo-Gravity
124	Cosmological implications of particle dynamics  and general relativity stemming from special relativity with a privileged frame	Accepted	Georgy Burde	Georgy  Burde		Workshop on Astro-Cosmo-Gravity; A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics	Workshop on Astro-Cosmo-Gravity; A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics
9	Hagedorn-like phase transitions at high supersymmetry breaking scale	Accepted	Herve Partouche	Herve Partouche		Workshop on New physics paradigms after Higgs and gravitational wave discoveries	Workshop on New physics paradigms after Higgs and gravitational wave discoveries
295	Naturally extended Higgs inflation ready for tests	Accepted	Ekaterina Kriukova	Dmitry Gorbunov		D Cosmology, Astrophysics, Gravity, Mathematical Physics; Workshop on Astro-Cosmo-Gravity	D Cosmology, Astrophysics, Gravity, Mathematical Physics; Workshop on Astro-Cosmo-Gravity
326	Deviations of R^2 cosmology from the Einstein's General Relativity	Accepted	Ekaterina Kriukova	Elena Arbuzova		Workshop on New physics paradigms after Higgs and gravitational wave discoveries	Workshop on New physics paradigms after Higgs and gravitational wave discoveries
168	Witten index in 3-dimensional gauge theories	Accepted	Andrei Smilga	Smilga Andrei		Other Topics; D Cosmology, Astrophysics, Gravity, Mathematical Physics	Other Topics; D Cosmology, Astrophysics, Gravity, Mathematical Physics
323	Generalized and Extended Uncertainty Principles and their impact onto the Hawking radiation	Accepted	Ekaterina Kriukova	Mariusz Dabrowski		Workshop on New physics paradigms after Higgs and gravitational wave discoveries	Workshop on New physics paradigms after Higgs and gravitational wave discoveries
92	Design of Barrel and Endcap DIRC Detectors for Particle Identification in PANDA	Accepted	Ilknur Koseoglu	Ilknur Köseoglu-Sari; PANDA Cherenkov Group		Other Topics; Workshop on Physics at FAIR-NICA-SPS-BES/RHIC	Other Topics; Workshop on Physics at FAIR-NICA-SPS-BES/RHIC
161	Forward hadron calorimeters for fixed target heavy ion experiments	Accepted	Sergey Morozov	Sergey Morozov		Workshop on Physics at FAIR-NICA-SPS-BES/RHIC	Workshop on Physics at FAIR-NICA-SPS-BES/RHIC
115	Simultaneous muon and hadron identification in the CBM Experiment at FAIR	Accepted	Anna Senger	Anna Senger		Workshop on Physics at FAIR-NICA-SPS-BES/RHIC	Workshop on Physics at FAIR-NICA-SPS-BES/RHIC
383	Status of the CBM experiment	Accepted	Victoria Volkova	Peter Senger		Workshop on Physics at FAIR-NICA-SPS-BES/RHIC	Workshop on Physics at FAIR-NICA-SPS-BES/RHIC
234	Status of FAIR	Accepted	Jurgen Eschke	Juergen Eschke		Workshop on Physics at FAIR-NICA-SPS-BES/RHIC	Workshop on Physics at FAIR-NICA-SPS-BES/RHIC
38	PERSPECTIVE STUDY OF HYPERONS AND HYPERNUCLEI WITH THE MPD DETECTOR AT NICA	Accepted	Vadim Kolesnikov	Vadim Kolesnikov		Workshop on Physics at FAIR-NICA-SPS-BES/RHIC	Workshop on Physics at FAIR-NICA-SPS-BES/RHIC
382	NICA Overview	Accepted	Victoria Volkova	Alexander Sorin; Vadim Kolesnikov		Workshop on Physics at FAIR-NICA-SPS-BES/RHIC	Workshop on Physics at FAIR-NICA-SPS-BES/RHIC
265	Machine Learning tools for Physics Searches at the LHC	Accepted	Pietro Vischia	Pietro Vischia			
257	ML techniques used in LHCb analyses and online applications	Accepted	Adam Mateusz Dendek	Adam Mateusz Dendek		A High Energy Particle Physics	A High Energy Particle Physics
160	Measurements of multiboson production using the ATLAS detector	Accepted	Jessica Metcalfe	Jessica Metcalfe; on behalf of the ATLAS Collaboration		A High Energy Particle Physics	A High Energy Particle Physics
239	Precision electroweak measurements with the CMS detector	Accepted	Vitaliano Ciulli	Vitaliano Ciulli		A High Energy Particle Physics	A High Energy Particle Physics
180	General Analytic Solution of a Non-Singular Isotropic Cosmological Model with Inflation and Bounces	Accepted	Alexander Sorin	Alexander Sorin; Alexei Starobinsky		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
381	Challenges in string and supersymmetric cosmology	Accepted	Victoria Volkova	Ignatios Antoniadis		Workshop on New physics paradigms after Higgs and gravitational wave discoveries	Workshop on New physics paradigms after Higgs and gravitational wave discoveries
379	From SU(3) to three quark families	Accepted	Victoria Volkova	Tommaso Dorigo		Memorial Session for Murray Gell Mann	Memorial Session for Murray Gell Mann
223	Top quark physics with the ATLAS detector: recent highlights	Accepted	Nello Bruscino	Nello Bruscino		A High Energy Particle Physics	A High Energy Particle Physics
260	Searches for new phenomena with the CMS detector (not Dark Matter)	Accepted	Kerstin Hoepfner	Kerstin Hoepfner		A High Energy Particle Physics	A High Energy Particle Physics
176	Searches for new phenomena with the ATLAS detector	Accepted	Francesco Guescini	Francesco Guescini		A High Energy Particle Physics	A High Energy Particle Physics
106	Astrophysics in the laboratory- The research program of the CBM experiment at FAIR	Accepted	Peter Senger	Peter Senger		B Heavy Ion Collisions and Critical Phenomena	B Heavy Ion Collisions and Critical Phenomena
227	Progress in the NICA Project	Accepted	Vadim Kolesnikov	Vladimir Kekelidze; Vadim Kolesnikov; Alexander Sorin; Viktor Matveev		Workshop on Physics at FAIR-NICA-SPS-BES/RHIC	Workshop on Physics at FAIR-NICA-SPS-BES/RHIC
208	K$^-$-nucleon/nuclei interaction studies at low-energy by AMADEUS and SIDDHARTA-2	Accepted	Raffaele Del Grande	Raffaele Del Grande			
293	Search for rare and lepton flavor violating decays of the Higgs boson with the ATLAS detector	Accepted	Michaela Mlynarikova	Michaela Mlynarikova		A High Energy Particle Physics	A High Energy Particle Physics
233	ATLAS searches for di-Higgs production at 13 TeV and prospects for HL-LHC	Accepted	Yuta Sano	Yuta Sano; The ATLAS collaboration		A High Energy Particle Physics	A High Energy Particle Physics
302	Higgs sector in the supersymmetric extension of the Standard Model with light sgoldstinos	Accepted	Ekaterina Kriukova	Ekaterina Kriukova		A High Energy Particle Physics	A High Energy Particle Physics
281	Searches for resonances in hadronic final states with the ATLAS detector	Accepted	Trine Poulsen	Trine Poulsen		A High Energy Particle Physics	A High Energy Particle Physics
58	Solar Neutrino Physics with Borexino	Accepted	Chiara Ghiano	Chiara Ghiano		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
121	SNO+: recent results and prospects	Accepted	Javier Caravaca Rodriguez	Javier Caravaca Rodriguez		A High Energy Particle Physics	A High Energy Particle Physics
40	Status of the GERDA Phase II experiment.	Accepted	Nadezda Rumyantseva	Nadezda  Rumyantseva ; on behalf of the GERDA Collaboration			
97	Neutrinoless double beta decay with nEXO	Accepted	Andrea Pocar	Andrea Pocar		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
56	Coherent Meson Production in the NOMAD Experiment	Accepted	Chris Kullenberg	Chris Kullenberg; Sanjib Mishra		A High Energy Particle Physics	A High Energy Particle Physics
250	Measurement of the EMC effect of the 3He nucleus from the JLab MARATHON experiment	Accepted	Tyler Hague	Tyler Hague			
251	Measurement of the EMC effect of the 3H nucleus from the JLab MARATHON experiment	Accepted	Michael Nycz	Michael Nycz			
258	JLab measurement of the ratio of the nucleon structure functions, $F_2^n$ / $F_2^p$, from electron DIS off 3H and 3He at large Bjorken x	Accepted	Tong Su	Tong Su			
29	Recent BaBar results in light hadron spectroscopy	Accepted	Evgeny Solodov	Evgeny Solodov		A High Energy Particle Physics	A High Energy Particle Physics
95	Recent results on bottomonia and bottomonium-like particles at Belle	Accepted	Mikihiko Nakao	Aleksei Garmash		A High Energy Particle Physics	A High Energy Particle Physics
57	Recent results of the hadronic cross section measurement with the CMD3 detector	Accepted	Gennady Fedotovich	Gennady Fedotovich		A High Energy Particle Physics	A High Energy Particle Physics
200	STAR Heavy Ion Results	Accepted	David Tlusty	David Tlusty		B Heavy Ion Collisions and Critical Phenomena; A High Energy Particle Physics	B Heavy Ion Collisions and Critical Phenomena; A High Energy Particle Physics
154	Role of hadronization in global observables	Accepted	Sarka Todorova	Sarka Todorova		Workshop on Heavy Ion Physics	Workshop on Heavy Ion Physics
191	Jet quenching and charmonia suppression at high-pt from effective quenching model	Accepted	Martin Spousta	Martin Spousta		B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics	B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics
232	Quarkonia production with the STAR exeriment at RHIC	Accepted	Sonja Kabana	Sonja Kabana; for the STAR Collaboration		B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics	B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics
178	Measurement of the CP-violating phase phi_s in B_s^0->J/psi phi  decays in ATLAS at 13 TeV	Accepted	Vladimir Nikolaenko	Vladimir Nikolaenko			A High Energy Particle Physics
44	The Belle II Experiment: Status and Prospects	Accepted	Ida Marena Peruzzi	Vitale Lorenzo		A High Energy Particle Physics	A High Energy Particle Physics
321	Unruh Instability	Accepted	Ekaterina Kriukova	Valentin Zakharov		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
109	Unsupervised Identification of phase transition on the Lattice	Accepted	Andreas Athenodorou	Andreas Athenodorou		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
104	Monte-Carlo simulation of the arifitial quantum neural network	Accepted	Oleg Pavlovsky	Oleg Pavlovsky		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
288	Lattice study of finite volume effects on transport properties of chiral fermions	Accepted	Semeon Valgushev	Pavel Buividovich; Semeon Valgushev		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
85	Quantum Phase Transitions on the Hexagonal Lattice	Accepted	Dominik Smith	Dominik Smith; Pavel Buividovich; Maksim Ulybyshev; Lorenz von Smekal; Michael Körner		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
188	Gluons in two-colour QCD at high baryon density	Accepted	Roman Rogalev	Roman Rogalev; Vitaly Bornyakov; Victor Braguta; Andrey Kotov; Aleksandr Nikolaev		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
86	Quantum Monte Carlo study of the renormalization of the Fermi velocity in graphene	Accepted	max ulybyshev	Maksim Ulybyshev		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
253	Overview of recent  STAR open heavy flavor measurements	Accepted	Jaroslav Bielcik	Jaroslav Bielcik		B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics	B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics
156	PHENIX heavy flavor highlights	Accepted	Takashi Hachiya	Takashi Hachiya		Workshop on Heavy Ion Physics	Workshop on Heavy Ion Physics
185	Production of light (anti-)(hyper-)nuclei at LHC energies with ALICE	Accepted	Stefania Bufalino	Stefania Bufalino		Workshop on Heavy Ion Physics	Workshop on Heavy Ion Physics
184	Recent Measurements Hadronic Resonances with ALICE at the LHC	Accepted	Bong-Hwi Lim	Bong-Hwi Lim		Workshop on Heavy Ion Physics	Workshop on Heavy Ion Physics
296	Laser induced pellet fusion based on ultrarelativistic heavy ion physics	Accepted	Ekaterina Kriukova	Laszlo Pal Csernai; H Stocker; L.M. Satarov		Workshop on Heavy Ion Physics	Workshop on Heavy Ion Physics
324	Primordial Intermediate Black Holes as Dark Matter	Accepted	Ekaterina Kriukova	Paul Frampton		Workshop on New physics paradigms after Higgs and gravitational wave discoveries	Workshop on New physics paradigms after Higgs and gravitational wave discoveries
376	Electromagnetic phenomena around black holes	Accepted	Victoria Volkova	Alexander Dolgov		Workshop on New physics paradigms after Higgs and gravitational wave discoveries	Workshop on New physics paradigms after Higgs and gravitational wave discoveries
54	Gapped Continuum Kaluza-Klein spectrum	Accepted	Eugenio Megias	Eugenio Megias; Mariano Quiros Carcelen		Workshop on New physics paradigms after Higgs and gravitational wave discoveries; A High Energy Particle Physics	Workshop on New physics paradigms after Higgs and gravitational wave discoveries; A High Energy Particle Physics
261	Two-loop corrections to scalar masses in generic theories without approximations	Accepted	Mark Dayvon Goodsell	Mark Dayvon Goodsell		Workshop on New physics paradigms after Higgs and gravitational wave discoveries	Workshop on New physics paradigms after Higgs and gravitational wave discoveries
374	Ring branch. Moving ahead CDR.	Accepted	Victoria Volkova	Petr Shatunov; Ivan Koop		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
373	Status and long-range prospects of ring physics	Accepted	Victoria Volkova	Leonid Grigorenko		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
372	High intensive cw-LINAC at LNL	Accepted	Victoria Volkova	Antonio Palmieri		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
371	SIGMAPHI Accelerator Technologies. Manufacturing capabilities for DFS	Accepted	Victoria Volkova	William Beeckman		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
370	Optics and possible design of DFS	Accepted	Victoria Volkova	Oleg Tarasov; Pavel Sharov		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
369	Front-end of cw-Linac. R&D program on 2019-2021	Accepted	Victoria Volkova	Timur Kulevoy		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
368	Status of the high-intensity ion source program at FLNR	Accepted	Victoria Volkova	Andrey Efremov		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
279	Rare isotopes production with next-generation in-flight separators	Accepted	Oleg Borisovich	Oleg Tarasov		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
273	Experience of RIBs Research at RIPS facility at RIKEN	Accepted	EVGUENI NIKOLSKI	Evgenii Nikolskii		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
147	Status and perspectives of Acculinna-2 fragment separator at U-400M cyclotron	Accepted	Andrey Fomichev	Andrey Fomichev		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
136	Current Results of Ion Driver LINAC-100 Development for New Rare Isotope Facility DERICA at JINR	Accepted	Sergey Polozov	Winfried Barth; Vyacheslav Dyubkov; Andrey Fomichev; Timur Kulevoy; Grigorenko Leonid; Yury Lozeev; Tatyana Lozeeva; Sergey Polozov; Aleksandr Samoshin; Stepan Yaramyshev		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
366	Vision for the prospective high-current cw-LINAC	Accepted	Victoria Volkova	Timur Kulevoy; Stepan Yaramyshev		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
365	Something about LINAC operation at LNL?	Accepted	Victoria Volkova	Giovanni Bisoffi		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
339	Heavy Ion Beam Dynamics in Continuous Wave Superconducting Linacs	Accepted	Peter Ostroumov	Peter Ostroumov		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
364	GSI experience of heavy ion acceleration?	Accepted	Victoria Volkova	peter spaedtke		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
363	Status and perspectives of FRS and SuperRFS facilities	Accepted	Victoria Volkova	Christoph Scheidenberger		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
89	JINR Accelerators for Nuclear Research	Accepted	Boris Sharkov	Boris SHARKOV; Boris Sharkov		Workshop on Physics of Exotic Nuclei; Workshop on Physics at FAIR-NICA-SPS-BES/RHIC	Workshop on Physics of Exotic Nuclei; Workshop on Physics at FAIR-NICA-SPS-BES/RHIC
245	Precision Experiments at Heavy-Ion Storage Rings	Accepted	Yury Litvinov	Yuri Litvinov		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
362	Long-term scientific program of RIB research at JINR. Requests for heavy-ion Linac	Accepted	Victoria Volkova	Leonid Grigorenko		Workshop on Physics of Exotic Nuclei	Workshop on Physics of Exotic Nuclei
263	Stochastic gravitational waves from spin 3/2	Accepted	Karim Benakli	Karim Benakli		Workshop on New physics paradigms after Higgs and gravitational wave discoveries	Workshop on New physics paradigms after Higgs and gravitational wave discoveries
254	Resolving singularities in General Relativity	Accepted	Larisa Bravina	Slava Mukhanov		Workshop on Astro-Cosmo-Gravity	Workshop on Astro-Cosmo-Gravity
217	Recent results on light-by-light scattering in Pb+Pb and hard processes in p+Pb and Pb+Pb collisions from the ATLAS Experiment at the LHC	Accepted	Martin Spousta	Martin Spousta		B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics	B Heavy Ion Collisions and Critical Phenomena; Workshop on Heavy Ion Physics
283	Chiral effects in rotating and accelerated medium	Accepted	Ekaterina Kriukova	Valentin Zakharov		Workshop on Physics at FAIR-NICA-SPS-BES/RHIC; Workshop on Heavy Ion Physics	Workshop on Physics at FAIR-NICA-SPS-BES/RHIC; Workshop on Heavy Ion Physics
171	Flavour Anomalies in Rare Decays and prospects of flavour physics at LHCb	Accepted	Katharina Mueller	Jacopo Pinzino		A High Energy Particle Physics	A High Energy Particle Physics
64	Studying Jet Fragmentation and Hadronization at LHCb	Accepted	Katharina Mueller	Christine Aidala		A High Energy Particle Physics; Workshop on QCD	A High Energy Particle Physics; Workshop on QCD
291	B physics with CMS	Accepted	Ekaterina Kriukova	Valentina Mariani		A High Energy Particle Physics	A High Energy Particle Physics
73	Dark Sector Physics with Belle II:first results and prospects	Accepted	Ida Marena Peruzzi	Ilya Komarov		A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics	A High Energy Particle Physics; D Cosmology, Astrophysics, Gravity, Mathematical Physics
15	Directional Dark Matter Search with Nuclear Emulsion	Accepted	Murat Ali Guler	NEWSdm Collaboration; Antonia Di Crescenzo		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
209	CALET on the International Space Station: the first three years of observations	Accepted	Paolo Brogi	Paolo Brogi		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
163	Testing Dark Matter models and Quantum Foundations with the SABRE experiment	Accepted	Francesco Nuti	Francesco Nuti		C Quantum Physics, Quantum Optics and Quantum Information; D Cosmology, Astrophysics, Gravity, Mathematical Physics	C Quantum Physics, Quantum Optics and Quantum Information; D Cosmology, Astrophysics, Gravity, Mathematical Physics
99	Dark Matter searches with the DarkSide experiment	Accepted	Andrea Pocar	Andrea Pocar		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
68	DAMA/LIBRA–phase2 results and implications on several Dark Matter scenarios	Accepted	Vincenzo Caracciolo	Rita Bernabei; Pierluigi Belli; Fabio Cappella; Vincenzo Caracciolo; Riccardo Cerulli; C.J. Dai; Annelisa d'Angelo; Alessandro di Marco; H.L. He; Antonella Incicchitti; X.H. Ma; Angelo Mattei; Vittorio Merlo; Francesco Montecchi; X.D. Sheng; Z.P. Ye			
120	Neutron production and exotic physics with SNO	Accepted	Javier Caravaca Rodriguez	Javier Caravaca Rodriguez		A High Energy Particle Physics	A High Energy Particle Physics
17	Developments for pulsed antihydrogen production towards direct gravitational measurement on antimatter	Accepted	Mattia Fani'	Mattia Fanì		D Cosmology, Astrophysics, Gravity, Mathematical Physics	D Cosmology, Astrophysics, Gravity, Mathematical Physics
49	Experimental progress towards positronium Bose-Einstein condensation	Accepted	Akira Ishida	Akira Ishida		C Quantum Physics, Quantum Optics and Quantum Information	C Quantum Physics, Quantum Optics and Quantum Information
128	SEARCH FOR EXOTIC DECAYS WITH NA62	Accepted	Patrizia Cenci	Marco Mirra		Workshop on Heavy Neutral Leptons	Workshop on Heavy Neutral Leptons
34	ATLAS Transverse Missing Momentum Trigger Performance	Accepted	Alina Corso Radu	Gabriel Gallardo		A High Energy Particle Physics; Mini Workshop on Instruments and Methods in HEP	A High Energy Particle Physics; Mini Workshop on Instruments and Methods in HEP
36	The ATLAS Level-1 Topological Processor: experience and upgrade plans	Accepted	Masato Aoki	Carlos Moreno Martinez		A High Energy Particle Physics; Mini Workshop on Instruments and Methods in HEP	A High Energy Particle Physics; Mini Workshop on Instruments and Methods in HEP
194	Results from the Hellenic Open University extensive air shower array	Accepted	Antonios Leisos	Stavros Nonis; Antonios Leisos		Other Topics; D Cosmology, Astrophysics, Gravity, Mathematical Physics; Mini Workshop on Instruments and Methods in HEP	Other Topics; D Cosmology, Astrophysics, Gravity, Mathematical Physics; Mini Workshop on Instruments and Methods in HEP
236	New generation of RPC detector the the ATLAS Muon detector upgrade	Accepted	Alessia Bruni	Luca Pizzimento		Mini Workshop on Instruments and Methods in HEP	Mini Workshop on Instruments and Methods in HEP
37	The ATLAS Electron and Photon Trigger Performance in Run 2	Accepted	Alina Corso Radu	Daniela Maria Koeck		A High Energy Particle Physics; Mini Workshop on Instruments and Methods in HEP	A High Energy Particle Physics; Mini Workshop on Instruments and Methods in HEP
47	The Micromegas chambers for the ATLAS New Small Wheel upgrade.	Accepted	Alessia Bruni	Deb Sankar Bhattacharya		Mini Workshop on Instruments and Methods in HEP	Mini Workshop on Instruments and Methods in HEP
117	An overview of the ATLAS NSW Micromegas construction project at Aristotle University	Accepted	Christos Lampoudis	Christos Lampoudis; Dimos Sampsonidis; Ioannis Karkanias; Spyridon Kompogiannis		Mini Workshop on Instruments and Methods in HEP	Mini Workshop on Instruments and Methods in HEP
80	Performance of the ATLAS RPC detector and L1 Muon Barrel trigger at sqrt{s} = 13 TeV	Accepted	Alessia Bruni	Marco Sessa		Mini Workshop on Instruments and Methods in HEP	Mini Workshop on Instruments and Methods in HEP
39	Zilch Vortical Effect in Kinetic Theory	Accepted	Pavel Mitkin	Xu-Guang Huang; Pavel Mitkin; Andrey Sadofyev		Workshop on Lattice and Condensed Matter Physics	Workshop on Lattice and Condensed Matter Physics
